trace_id,gt_step,gemini,qwen,gpt-oss,ensemble,all_agree
0,3,16,3,4,3,0
1,9,9,5,4,5,0
2,8,20,1,8,20,0
3,15,9,4,4,4,0
4,12,10,5,1,1,0
5,5,5,4,4,4,0
6,8,12,3,4,3,0
7,4,11,1,4,1,0
8,8,-1,5,12,5,0
9,16,2,1,2,1,0
10,4,11,11,4,4,0
11,4,-1,4,12,-1,0
12,51,16,4,4,4,0
13,9,6,5,9,6,0
14,5,1,5,5,5,0
15,32,9,4,12,9,0
16,82,12,5,4,12,0
17,9,9,8,12,12,0
18,4,17,5,12,5,0
19,12,12,4,4,4,0
20,5,6,5,6,6,0
21,24,30,3,4,4,0
22,32,9,4,4,9,0
23,4,15,8,4,8,0
24,8,9,5,9,9,0
25,51,17,3,4,4,0
26,16,16,4,4,16,0
27,20,20,2,4,4,0
28,6,9,5,4,5,0
29,1,1,1,1,1,1
30,12,12,4,4,4,0
31,4,4,4,4,4,1
32,18,5,5,8,8,0
33,8,8,3,4,8,0
34,39,1,4,4,4,0
35,12,13,5,4,5,0
36,4,5,4,5,4,0
37,12,12,5,12,12,0
38,32,12,5,4,4,0
39,8,4,-1,4,4,0
40,8,28,5,4,4,0
41,4,16,2,16,2,0
42,16,12,4,4,4,0
43,3,12,5,4,4,0
44,8,12,3,4,3,0
45,18,5,5,4,5,0
46,14,10,1,4,4,0
47,12,9,5,4,9,0
48,29,17,4,4,17,0
49,8,30,4,4,4,0
50,24,15,5,4,5,0
51,12,16,5,12,12,0
52,30,8,4,4,4,0
53,50,44,2,4,4,0
54,22,12,3,3,12,0
55,8,5,5,4,4,0
56,25,15,5,4,5,0
57,12,32,5,4,5,0
